Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[disease]	Characteristics[xenograft]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Array Data File	Comment[MD5]	Factor Value[xenograft]
139M_181_R1_HNFYLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HNFYLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HNFYLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HNFYLBGX3_L001	sequencing assay	139M_181_R1_HNFYLBGX3_L001.fastq.gz	9b19fe17cf0f09247f6d6125b29dd946	139M_181_R1_HNFYLBGX3_L001
139M_181_R1_HNFYLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HNFYLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HNFYLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HNFYLBGX3_L002	sequencing assay	139M_181_R1_HNFYLBGX3_L002.fastq.gz	e5cd74034fbe8ef40d5a53febaf86242	139M_181_R1_HNFYLBGX3_L002
139M_181_R1_HNFYLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HNFYLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HNFYLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HNFYLBGX3_L003	sequencing assay	139M_181_R1_HNFYLBGX3_L003.fastq.gz	4aeadcf64c67465a5c2d5fba75316391	139M_181_R1_HNFYLBGX3_L003
139M_181_R1_HNFYLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HNFYLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HNFYLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HNFYLBGX3_L004	sequencing assay	139M_181_R1_HNFYLBGX3_L004.fastq.gz	83a9d1700c053083f0cc319b7e555f5d	139M_181_R1_HNFYLBGX3_L004
139M_181_R1_HT7TLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HT7TLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HT7TLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HT7TLBGX3_L001	sequencing assay	139M_181_R1_HT7TLBGX3_L001.fastq.gz	720281cde87b532cf810b2930cb1dc11	139M_181_R1_HT7TLBGX3_L001
139M_181_R1_HT7TLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HT7TLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HT7TLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HT7TLBGX3_L002	sequencing assay	139M_181_R1_HT7TLBGX3_L002.fastq.gz	6fbf097280e11f0a690f97766e7023a4	139M_181_R1_HT7TLBGX3_L002
139M_181_R1_HT7TLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HT7TLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HT7TLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HT7TLBGX3_L003	sequencing assay	139M_181_R1_HT7TLBGX3_L003.fastq.gz	774f9781edcacdfe5819b625902ad187	139M_181_R1_HT7TLBGX3_L003
139M_181_R1_HT7TLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HT7TLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HT7TLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HT7TLBGX3_L004	sequencing assay	139M_181_R1_HT7TLBGX3_L004.fastq.gz	bdaee1b6a20d2cd3ebf4903f734c379a	139M_181_R1_HT7TLBGX3_L004
139M_181_R1_HVKMCBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HVKMCBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HVKMCBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HVKMCBGX3_L001	sequencing assay	139M_181_R1_HVKMCBGX3_L001.fastq.gz	884de276bd1c5f972965fe8ebfefed38	139M_181_R1_HVKMCBGX3_L001
139M_181_R1_HVKMCBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HVKMCBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HVKMCBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HVKMCBGX3_L002	sequencing assay	139M_181_R1_HVKMCBGX3_L002.fastq.gz	e9b8a0978dd971a960207488e715e315	139M_181_R1_HVKMCBGX3_L002
139M_181_R1_HVKMCBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HVKMCBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HVKMCBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HVKMCBGX3_L003	sequencing assay	139M_181_R1_HVKMCBGX3_L003.fastq.gz	b12bc7f7afca95e3465645f9e4401dfe	139M_181_R1_HVKMCBGX3_L003
139M_181_R1_HVKMCBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R1_HVKMCBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R1_HVKMCBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R1_HVKMCBGX3_L004	sequencing assay	139M_181_R1_HVKMCBGX3_L004.fastq.gz	42b0f111f4b99c82ddbfe3bb5569fbc9	139M_181_R1_HVKMCBGX3_L004
139M_181_R2.all.hg19.merged.nodup.w5.rpm.sub.dm6	hg19	breast.hg19	Breast.cancer	139M_181_R2.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2.all.hg19.merged.nodup.w5.rpm.sub.dm6	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2.all.hg19.merged.nodup.w5.rpm.sub.dm6	sequencing assay	139M_181_R2.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	b1410b917b3b9ee5855ba75c432e93fe	139M_181_R2.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw
139M_181_R2_HKV2HBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HKV2HBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HKV2HBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HKV2HBGX3_L001	sequencing assay	139M_181_R2_HKV2HBGX3_L001.fastq.gz	315f63b0f744643120a02a69e3bdc6db	139M_181_R2_HKV2HBGX3_L001
139M_181_R2_HKV2HBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HKV2HBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HKV2HBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HKV2HBGX3_L002	sequencing assay	139M_181_R2_HKV2HBGX3_L002.fastq.gz	cc61d682dc7193972e58d30422f0ad19	139M_181_R2_HKV2HBGX3_L002
139M_181_R2_HKV2HBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HKV2HBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HKV2HBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HKV2HBGX3_L003	sequencing assay	139M_181_R2_HKV2HBGX3_L003.fastq.gz	f18ac7723cbf2acf53ba0d39734b832a	139M_181_R2_HKV2HBGX3_L003
139M_181_R2_HKV2HBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HKV2HBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HKV2HBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HKV2HBGX3_L004	sequencing assay	139M_181_R2_HKV2HBGX3_L004.fastq.gz	78448bce21e70d35d49a56034d4c5742	139M_181_R2_HKV2HBGX3_L004
139M_181_R2_HNFYLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HNFYLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HNFYLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HNFYLBGX3_L001	sequencing assay	139M_181_R2_HNFYLBGX3_L001.fastq.gz	9c217fb52a2caf27dbc502f71acd6607	139M_181_R2_HNFYLBGX3_L001
139M_181_R2_HNFYLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HNFYLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HNFYLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HNFYLBGX3_L002	sequencing assay	139M_181_R2_HNFYLBGX3_L002.fastq.gz	199c96a5c312a0e60a2c8584be95be97	139M_181_R2_HNFYLBGX3_L002
139M_181_R2_HNFYLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HNFYLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HNFYLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HNFYLBGX3_L003	sequencing assay	139M_181_R2_HNFYLBGX3_L003.fastq.gz	6ed11509a18fa11e6a46269d739facaa	139M_181_R2_HNFYLBGX3_L003
139M_181_R2_HNFYLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HNFYLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HNFYLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HNFYLBGX3_L004	sequencing assay	139M_181_R2_HNFYLBGX3_L004.fastq.gz	cfed1cc9a66f4204bdc3bfc2b0153511	139M_181_R2_HNFYLBGX3_L004
139M_181_R2_HT7TLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HT7TLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HT7TLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HT7TLBGX3_L001	sequencing assay	139M_181_R2_HT7TLBGX3_L001.fastq.gz	56203043752df5df90da8228a0d193ea	139M_181_R2_HT7TLBGX3_L001
139M_181_R2_HT7TLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HT7TLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HT7TLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HT7TLBGX3_L002	sequencing assay	139M_181_R2_HT7TLBGX3_L002.fastq.gz	842219ac6ab7b7dea5cc7e874cbe6982	139M_181_R2_HT7TLBGX3_L002
139M_181_R2_HT7TLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HT7TLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HT7TLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HT7TLBGX3_L003	sequencing assay	139M_181_R2_HT7TLBGX3_L003.fastq.gz	1be2a2dfedf19b9505e87a39426c3b22	139M_181_R2_HT7TLBGX3_L003
139M_181_R2_HT7TLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HT7TLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HT7TLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HT7TLBGX3_L004	sequencing assay	139M_181_R2_HT7TLBGX3_L004.fastq.gz	2da9f26a065aa95d026459ca6a421ef4	139M_181_R2_HT7TLBGX3_L004
139M_181_R2_HVKMCBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HVKMCBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HVKMCBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HVKMCBGX3_L001	sequencing assay	139M_181_R2_HVKMCBGX3_L001.fastq.gz	32e4c6d766a86b9b10840e82463d88e6	139M_181_R2_HVKMCBGX3_L001
139M_181_R2_HVKMCBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HVKMCBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HVKMCBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HVKMCBGX3_L002	sequencing assay	139M_181_R2_HVKMCBGX3_L002.fastq.gz	41974756625d733bc910a0057b1285cb	139M_181_R2_HVKMCBGX3_L002
139M_181_R2_HVKMCBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HVKMCBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HVKMCBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HVKMCBGX3_L003	sequencing assay	139M_181_R2_HVKMCBGX3_L003.fastq.gz	7d35ea9344c7baa25250a4b11ed24821	139M_181_R2_HVKMCBGX3_L003
139M_181_R2_HVKMCBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R2_HVKMCBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R2_HVKMCBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R2_HVKMCBGX3_L004	sequencing assay	139M_181_R2_HVKMCBGX3_L004.fastq.gz	3273f5a81497ddb1283eb1f47913e07e	139M_181_R2_HVKMCBGX3_L004
139M_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6	hg19	breast.hg19	Breast.cancer	139M_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6	sequencing assay	139M_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	1204b4ec59ce4b97419bc373b8243f98	139M_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw
139M_181_R3_HNFYLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	139M_181_R3_HNFYLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	139M_181_R3_HNFYLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	139M_181_R3_HNFYLBGX3_L001	sequencing assay	139M_181_R3_HNFYLBGX3_L001.fastq.gz	08ea431b922ea0219931c2a4de3c0c23	139M_181_R3_HNFYLBGX3_L001
